time,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,ctxt,btime,processes,procs_running,procs_blocked,cpus,sda.reads,sda.reads_merged,sda.read_sectors,sda.read_time_ms,sda.writes,sda.writes_merged,sda.write_sectors,sda.write_time_ms,sda.io_in_progress,sda.io_time_ms,sda.io_queued_ms
2015-01-04T18:16:14.306935Z,2245028,0,867653,25721691,10158,49234,0,0,0,0,3849483376,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.408895Z,2245055,0,867683,25721691,10158,49235,0,0,0,0,3849725196,1420347116,160710,93,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.512333Z,2245105,0,867692,25721691,10158,49238,0,0,0,0,3849729217,1420347116,160710,95,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.616193Z,2245155,0,867700,25721691,10158,49241,0,0,0,0,3849733366,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.717349Z,2245170,0,867706,25721729,10158,49242,0,0,0,0,3849735021,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.820181Z,2245219,0,867715,25721730,10158,49245,0,0,0,0,3849739760,1420347116,160710,96,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.922605Z,2245269,0,867723,25721730,10158,49248,0,0,0,0,3849744526,1420347116,160710,107,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.023713Z,2245318,0,867732,25721730,10158,49251,0,0,0,0,3849749161,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.125118Z,2245366,0,867741,25721730,10158,49254,0,0,0,0,3849753838,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.226560Z,2245415,0,867750,25721730,10158,49257,0,0,0,0,3849757947,1420347116,160710,95,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.329138Z,2245465,0,867758,25721730,10158,49260,0,0,0,0,3849762727,1420347116,160710,106,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.430134Z,2245513,0,867767,25721730,10158,49263,0,0,0,0,3849767269,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.540741Z,2245567,0,867776,25721730,10158,49267,0,0,0,0,3849771731,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.648392Z,2245618,0,867786,25721730,10158,49270,0,0,0,0,3849776380,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.749221Z,2245660,0,867794,25721738,10158,49273,0,0,0,0,3849780337,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:15.852727Z,2245682,0,867801,25721771,10158,49274,0,0,0,0,3849782909,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
